branch_index,initial_state,alice_message,bob_message,bell_branch_12,bell_branch_34,bell_branch_56,M_B,tilde_M_B,M_A,tilde_M_A,C_A_hex,C_B_hex,ciphertext_A_formula,ciphertext_B_formula,decoded_intermediates,executor_consumed_bell_labels,recovered_alice_message,recovered_bob_message,initial_leader,terminal_state,gamma_A_valid,gamma_B_valid,logical_erasure,commitment_ciphertext_mask_link,maximum_information_lead,branch_success
60,phi1,11,11,00,10,01,01,10,10,01,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '01', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",00|10|01,11,11,Alice,COMPLETED,True,True,True,True,1,True
61,phi1,11,11,00,11,10,00,11,01,10,0000000202,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '00', 'M_B': '00', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",00|11|10,11,11,Bob,COMPLETED,True,True,True,True,1,True
62,phi1,11,11,11,00,01,11,00,10,01,0000000201,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '11', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",11|00|01,11,11,Alice,COMPLETED,True,True,True,True,1,True
63,phi1,11,11,11,01,10,10,01,01,10,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '11', 'M_B': '10', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",11|01|10,11,11,Bob,COMPLETED,True,True,True,True,1,True
64,phi2,00,00,01,00,01,00,00,01,01,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|00|01,00,00,Alice,COMPLETED,True,True,True,True,1,True
65,phi2,00,00,01,01,10,01,01,10,10,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|01|10,00,00,Bob,COMPLETED,True,True,True,True,1,True
66,phi2,00,00,10,10,01,10,10,01,01,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|10|01,00,00,Alice,COMPLETED,True,True,True,True,1,True
67,phi2,00,00,10,11,10,11,11,10,10,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|11|10,00,00,Bob,COMPLETED,True,True,True,True,1,True
68,phi2,00,01,01,00,10,01,00,10,10,0000000201,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|00|10,00,01,Alice,COMPLETED,True,True,True,True,1,True
69,phi2,00,01,01,01,01,00,01,01,01,0000000202,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|01|01,00,01,Bob,COMPLETED,True,True,True,True,1,True
70,phi2,00,01,10,10,10,11,10,10,10,0000000203,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|10|10,00,01,Alice,COMPLETED,True,True,True,True,1,True
71,phi2,00,01,10,11,01,10,11,01,01,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|11|01,00,01,Bob,COMPLETED,True,True,True,True,1,True
72,phi2,00,10,01,10,01,00,10,01,01,0000000203,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|10|01,00,10,Alice,COMPLETED,True,True,True,True,1,True
73,phi2,00,10,01,11,10,01,11,10,10,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|11|10,00,10,Bob,COMPLETED,True,True,True,True,1,True
74,phi2,00,10,10,00,01,10,00,01,01,0000000201,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|00|01,00,10,Alice,COMPLETED,True,True,True,True,1,True
75,phi2,00,10,10,01,10,11,01,10,10,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|01|10,00,10,Bob,COMPLETED,True,True,True,True,1,True
76,phi2,00,11,01,10,10,01,10,10,10,0000000203,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|10|10,00,11,Alice,COMPLETED,True,True,True,True,1,True
77,phi2,00,11,01,11,01,00,11,01,01,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|11|01,00,11,Bob,COMPLETED,True,True,True,True,1,True
78,phi2,00,11,10,00,10,11,00,10,10,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '10', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|00|10,00,11,Alice,COMPLETED,True,True,True,True,1,True
79,phi2,00,11,10,01,01,10,01,01,01,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '01', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|01|01,00,11,Bob,COMPLETED,True,True,True,True,1,True
80,phi2,01,00,01,00,00,00,00,01,00,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|00|00,01,00,Alice,COMPLETED,True,True,True,True,1,True
81,phi2,01,00,01,01,11,01,01,10,11,0000000203,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|01|11,01,00,Bob,COMPLETED,True,True,True,True,1,True
82,phi2,01,00,10,10,00,10,10,01,00,0000000203,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|10|00,01,00,Alice,COMPLETED,True,True,True,True,1,True
83,phi2,01,00,10,11,11,11,11,10,11,0000000202,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|11|11,01,00,Bob,COMPLETED,True,True,True,True,1,True
84,phi2,01,01,01,00,11,01,00,10,11,0000000201,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|00|11,01,01,Alice,COMPLETED,True,True,True,True,1,True
85,phi2,01,01,01,01,00,00,01,01,00,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|01|00,01,01,Bob,COMPLETED,True,True,True,True,1,True
86,phi2,01,01,10,10,11,11,10,10,11,0000000203,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|10|11,01,01,Alice,COMPLETED,True,True,True,True,1,True
87,phi2,01,01,10,11,00,10,11,01,00,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|11|00,01,01,Bob,COMPLETED,True,True,True,True,1,True
88,phi2,01,10,01,10,00,00,10,01,00,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|10|00,01,10,Alice,COMPLETED,True,True,True,True,1,True
89,phi2,01,10,01,11,11,01,11,10,11,0000000202,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|11|11,01,10,Bob,COMPLETED,True,True,True,True,1,True
90,phi2,01,10,10,00,00,10,00,01,00,0000000202,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|00|00,01,10,Alice,COMPLETED,True,True,True,True,1,True
91,phi2,01,10,10,01,11,11,01,10,11,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|01|11,01,10,Bob,COMPLETED,True,True,True,True,1,True
92,phi2,01,11,01,10,11,01,10,10,11,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|10|11,01,11,Alice,COMPLETED,True,True,True,True,1,True
93,phi2,01,11,01,11,00,00,11,01,00,0000000200,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|11|00,01,11,Bob,COMPLETED,True,True,True,True,1,True
94,phi2,01,11,10,00,11,11,00,10,11,0000000202,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '11', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|00|11,01,11,Alice,COMPLETED,True,True,True,True,1,True
95,phi2,01,11,10,01,00,10,01,01,00,0000000201,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '00', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|01|00,01,11,Bob,COMPLETED,True,True,True,True,1,True
96,phi2,10,00,01,00,11,00,00,01,11,0000000202,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|00|11,10,00,Alice,COMPLETED,True,True,True,True,1,True
97,phi2,10,00,01,01,00,01,01,10,00,0000000203,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|01|00,10,00,Bob,COMPLETED,True,True,True,True,1,True
98,phi2,10,00,10,10,11,10,10,01,11,0000000201,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|10|11,10,00,Alice,COMPLETED,True,True,True,True,1,True
99,phi2,10,00,10,11,00,11,11,10,00,0000000201,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|11|00,10,00,Bob,COMPLETED,True,True,True,True,1,True
100,phi2,10,01,01,00,00,01,00,10,00,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|00|00,10,01,Alice,COMPLETED,True,True,True,True,1,True
101,phi2,10,01,01,01,11,00,01,01,11,0000000203,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|01|11,10,01,Bob,COMPLETED,True,True,True,True,1,True
102,phi2,10,01,10,10,00,11,10,10,00,0000000200,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|10|00,10,01,Alice,COMPLETED,True,True,True,True,1,True
103,phi2,10,01,10,11,11,10,11,01,11,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|11|11,10,01,Bob,COMPLETED,True,True,True,True,1,True
104,phi2,10,10,01,10,11,00,10,01,11,0000000203,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|10|11,10,10,Alice,COMPLETED,True,True,True,True,1,True
105,phi2,10,10,01,11,00,01,11,10,00,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|11|00,10,10,Bob,COMPLETED,True,True,True,True,1,True
106,phi2,10,10,10,00,11,10,00,01,11,0000000200,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|00|11,10,10,Alice,COMPLETED,True,True,True,True,1,True
107,phi2,10,10,10,01,00,11,01,10,00,0000000200,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|01|00,10,10,Bob,COMPLETED,True,True,True,True,1,True
108,phi2,10,11,01,10,00,01,10,10,00,0000000201,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|10|00,10,11,Alice,COMPLETED,True,True,True,True,1,True
109,phi2,10,11,01,11,11,00,11,01,11,0000000201,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|11|11,10,11,Bob,COMPLETED,True,True,True,True,1,True
110,phi2,10,11,10,00,00,11,00,10,00,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '00', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|00|00,10,11,Alice,COMPLETED,True,True,True,True,1,True
111,phi2,10,11,10,01,11,10,01,01,11,0000000203,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '11', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|01|11,10,11,Bob,COMPLETED,True,True,True,True,1,True
112,phi2,11,00,01,00,10,00,00,01,10,0000000201,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '00', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|00|10,11,00,Alice,COMPLETED,True,True,True,True,1,True
113,phi2,11,00,01,01,01,01,01,10,01,0000000203,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '01', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|01|01,11,00,Bob,COMPLETED,True,True,True,True,1,True
114,phi2,11,00,10,10,10,10,10,01,10,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|10|10,11,00,Alice,COMPLETED,True,True,True,True,1,True
115,phi2,11,00,10,11,01,11,11,10,01,0000000202,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '11', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|11|01,11,00,Bob,COMPLETED,True,True,True,True,1,True
116,phi2,11,01,01,00,01,01,00,10,01,0000000201,0000000200,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '01', 'tilde_M_B': '00', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '01', 'bob_base34': '01', 'bob_base56': '10'}",01|00|01,11,01,Alice,COMPLETED,True,True,True,True,1,True
117,phi2,11,01,01,01,10,00,01,01,10,0000000203,0000000202,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '01', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|01|10,11,01,Bob,COMPLETED,True,True,True,True,1,True
118,phi2,11,01,10,10,01,11,10,10,01,0000000203,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '11', 'tilde_M_B': '10', 'M_A': '10', 'tilde_M_A': '01', 'alice_base56': '10', 'alice_base34': '11', 'bob_base34': '11', 'bob_base56': '10'}",10|10|01,11,01,Alice,COMPLETED,True,True,True,True,1,True
119,phi2,11,01,10,11,10,10,11,01,10,0000000201,0000000201,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '10', 'M_B': '10', 'tilde_M_B': '11', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '10', 'bob_base34': '10', 'bob_base56': '01'}",10|11|10,11,01,Bob,COMPLETED,True,True,True,True,1,True
120,phi2,11,10,01,10,10,00,10,01,10,0000000201,0000000203,C_A_fair=tilde_M_A XOR K_A_otp XOR R_A,C_B_fair=tilde_M_B XOR K_B_otp XOR R_B,"{'label12': '01', 'M_B': '00', 'tilde_M_B': '10', 'M_A': '01', 'tilde_M_A': '10', 'alice_base56': '01', 'alice_base34': '00', 'bob_base34': '00', 'bob_base56': '01'}",01|10|10,11,10,Alice,COMPLETED,True,True,True,True,1,True
